"MeansTH" "MeansDD" "MeansLC"
"1" 0.149149149149149 0.00811359026369168 0.298233695652174
"2" 0.172672672672673 0.0162271805273834 0.28125
"3" 0.141141141141141 0.0223123732251521 0.276494565217391
"4" 0.188188188188188 0.0324543610547667 0.55366847826087
"5" 0.202702702702703 0.0628803245436105 0.41304347826087
"6" 0.256756756756757 0.0689655172413793 0.521739130434783
"7" 0.260760760760761 0.0669371196754564 0.570652173913043
"8" 0.301301301301301 0.0547667342799189 0.690896739130435
"9" 0.441441441441441 0.0892494929006085 0.709239130434783
"10" 0.315815815815816 0.141987829614604 0.773097826086957
"11" 0.307807807807808 0.0933062880324544 0.793478260869565
"12" 0.338838838838839 0.0527383367139959 0.991847826086957
"13" 0.34984984984985 0.0791075050709939 0.855978260869565
"14" 0.291791791791792 0.0709939148073022 0.775815217391304
